purchase_order_id,supplier_id,warehouse_id,product_id,order_date,quantity,unit_cost,status,expected_delivery_date
1,19,15,24570,2023-04-17,78,789.86,Received,2023-05-30
2,1089,19,12791,2023-07-02,3318,231.73,Received,2023-08-02
3,1315,25,30840,2022-08-11,3663,638.47,Cancelled,
4,1218,4,16904,2025-01-01,4404,63.34,Ordered,2025-02-11
5,648,13,10211,2025-09-27,1921,29.95,In Transit,2025-10-18
6,274,17,21684,2023-07-25,281,621.16,Ordered,2023-08-13
7,1372,15,23876,2022-08-08,1808,315.03,In Transit,2022-08-29
8,296,13,19526,2023-12-07,3852,780.52,Received,2024-01-07
9,1396,3,35318,2026-07-13,4091,846.25,Received,2026-07-27
10,678,1,23895,2026-01-03,4064,252.34,Received,2026-02-01
11,1066,4,19673,2026-04-09,3654,536.58,Received,2026-04-28
12,327,4,22523,2026-05-07,4388,284.23,Received,2026-06-03
13,561,9,26364,2026-07-06,4176,54.54,Received,
14,355,19,14154,2024-03-07,2996,775.23,Received,2024-04-13
15,750,22,26735,2023-11-18,953,1169.7,Received,
16,779,14,3650,2024-08-10,4440,636.21,Received,2024-08-29
17,1136,4,4088,2023-05-11,3459,449.46,Received,2023-05-16
18,655,23,5703,2024-09-25,3196,26.95,In Transit,2024-10-08
19,734,9,27108,2024-10-03,2934,237.65,Ordered,
20,1168,13,17722,2024-12-08,3183,805.13,In Transit,2025-01-08
21,992,4,2955,2024-04-13,2682,939.19,Received,2024-05-11
22,1,8,12977,2025-04-27,1804,202.12,In Transit,2025-06-02
23,429,19,18811,2024-09-08,622,430.08,Received,
24,272,12,28528,2023-03-18,3386,493.66,Received,2023-04-07
25,27,13,1532,2024-08-27,2075,346.19,Ordered,2024-09-16
26,230,12,27431,2026-03-03,2050,554.19,In Transit,2026-03-18
27,954,2,35872,2023-05-11,3390,36.98,Received,2023-06-01
28,1472,20,34924,2024-08-10,1155,595.79,Received,2024-09-14
29,872,15,28607,2025-08-17,2371,38.46,Received,2025-09-30
30,524,11,20632,2025-02-14,2533,162.98,In Transit,2025-03-26
31,1114,7,19069,2025-07-27,507,893.34,Received,2025-08-30
32,512,1,31589,2024-05-23,3402,660.62,Received,2024-06-09
33,1349,1,53,2023-12-31,121,967.34,Received,2024-01-28
34,399,9,16383,2024-10-23,773,318.42,Received,2024-10-30
35,1128,19,32877,2022-06-18,2943,667.7,Received,2022-07-15
36,943,7,29467,2026-07-13,3800,542.88,In Transit,2026-08-20
37,909,2,1924,2024-05-06,4661,482.25,Ordered,2024-05-24
38,1491,6,20719,2025-06-24,4843,590.67,Received,2025-07-06
39,853,21,27622,2023-04-07,2376,675.72,Ordered,2023-04-23
40,1288,15,34915,2025-04-11,634,1002.35,Received,2025-05-08
41,131,17,3489,2026-06-09,2966,98.81,In Transit,
42,874,9,23390,2024-11-18,4148,635.65,Received,2024-12-10
43,1462,12,9525,2025-12-25,2307,418.29,Received,2026-01-08
44,622,23,23855,2026-06-21,1221,119.35,Cancelled,2026-07-07
45,443,3,2479,2025-11-19,4931,22.58,In Transit,2025-12-08
46,642,24,35911,2024-03-17,4340,371.78,In Transit,2024-04-15
47,1203,6,19087,2024-08-06,288,782.07,In Transit,2024-08-17
48,1069,17,1540,2024-04-18,1089,1001.09,Received,2024-05-26
49,28,8,39156,2023-08-12,3702,891.33,Received,2023-09-12
50,1219,9,10490,2022-06-28,469,465.38,Received,
51,510,6,24782,2024-07-26,3273,581.92,Received,2024-08-28
52,408,20,20788,2025-05-04,4938,246.53,Received,
53,1282,11,18299,2024-08-17,977,180.1,Ordered,2024-08-24
54,260,12,22508,2024-09-12,1920,959.52,In Transit,2024-09-26
55,1299,19,39964,2025-03-02,1833,483.75,Ordered,2025-03-22
56,1175,7,13088,2024-05-23,4527,877.57,In Transit,2024-06-25
57,1402,13,33064,2026-04-24,1421,800.28,Received,2026-05-25
58,1306,7,13013,2024-02-21,2218,599.7,In Transit,2024-03-23
59,1323,23,8590,2023-04-10,218,321.88,In Transit,2023-04-27
60,916,5,32480,2025-04-06,4968,494.87,In Transit,2025-04-11
61,1446,23,5543,2022-08-08,3130,450.52,Received,2022-09-03
62,841,11,27779,2025-03-17,2028,1065.03,Received,2025-04-15
63,1187,4,5238,2024-11-27,447,245.03,Received,2024-12-11
64,77,13,7772,2022-06-02,346,485.68,Received,2022-07-11
65,363,13,14731,2026-03-15,4854,402.1,Received,2026-04-24
66,1446,19,27279,2024-10-28,3171,309.82,Cancelled,2024-11-15
67,1173,3,15518,2025-01-13,3641,158.94,Ordered,2025-01-28
68,984,17,36164,2022-10-03,646,1062.08,In Transit,2022-10-08
69,650,11,35213,2026-01-19,2310,785.44,Received,2026-01-24
70,204,1,1176,2023-01-17,2096,434.41,Received,
71,696,15,28662,2026-03-22,2396,892.34,Received,2026-04-01
72,392,21,5510,2025-09-14,2298,142.85,Received,2025-10-06
73,305,7,581,2023-01-23,2865,252.02,Received,2023-01-30
74,540,4,23543,2023-06-09,3397,766.08,Ordered,2023-06-25
75,1193,19,36515,2023-11-05,746,182.75,Received,2023-12-03
76,833,21,34059,2024-12-25,2498,1083.28,In Transit,2025-01-26
77,1242,23,36956,2025-07-20,2400,1044.29,Received,2025-08-07
78,1263,24,5912,2025-10-26,4081,1055.08,Ordered,2025-11-30
79,677,12,18055,2024-10-27,866,564.89,Ordered,2024-11-18
80,663,24,26245,2022-12-04,147,96.29,Ordered,2022-12-11
81,933,18,8763,2022-12-05,987,835.84,Received,
82,580,8,24818,2024-09-14,1302,613.49,Ordered,2024-09-30
83,313,6,21647,2023-04-15,1980,883.83,Cancelled,2023-05-21
84,30,12,10584,2025-09-22,4399,411.68,In Transit,2025-11-04
85,345,4,14407,2023-06-19,884,391.29,Received,2023-07-03
86,403,20,8086,2023-07-25,2657,165.57,In Transit,2023-08-28
87,475,9,8748,2022-10-09,1951,562.19,Received,
88,971,7,457,2025-08-07,1063,484.49,Received,2025-09-06
89,620,25,12082,2023-10-31,845,226.18,Received,2023-11-24
90,37,13,6898,2024-05-21,790,592.05,In Transit,2024-06-16
91,494,16,4942,2026-01-27,4468,839.6,In Transit,2026-02-10
92,1498,6,7339,2022-12-31,4114,372.49,Received,
93,76,5,37347,2023-07-28,1857,1002.93,Ordered,2023-08-03
94,140,24,5334,2022-07-19,3804,586.07,Received,2022-07-26
95,314,12,33240,2026-07-27,185,628.25,Ordered,2026-08-04
96,1084,22,20729,2023-11-30,2822,882.04,Ordered,2023-12-29
97,950,24,30892,2023-08-16,3001,964.57,Ordered,2023-09-05
98,185,15,25637,2026-05-18,3509,460.24,Received,2026-06-12
99,1216,19,26649,2026-06-25,4042,548.78,Received,2026-08-05
100,930,17,7791,2024-05-14,1264,182.1,In Transit,
101,656,22,15458,2023-10-23,2058,1164.47,Received,2023-10-31
102,457,23,23146,2023-08-13,1212,125.64,Received,2023-09-11
103,502,8,22546,2023-09-25,3528,57.39,Received,2023-10-24
104,1434,11,12483,2022-09-03,4358,1004.56,Received,2022-10-09
105,342,24,3693,2026-06-08,3668,403.29,Received,
106,281,9,32043,2026-06-24,1474,452.44,Cancelled,2026-07-27
107,710,4,23573,2022-06-25,1730,677.3,In Transit,2022-07-07
108,376,7,18270,2023-09-16,3629,84.74,Received,2023-10-01
109,1012,25,25792,2025-12-15,490,6.92,In Transit,2026-01-12
110,419,24,3217,2022-10-26,730,442.11,Cancelled,2022-11-25
111,489,1,18023,2023-11-04,3734,676.57,Received,2023-12-16
