return_id,order_item_id,customer_id,return_date,return_status,return_reason,refund_amount,refund_reference
1,415802,145968,06-07-2025,Approved,Size/fit issue,1525.56,REF14894
2,560664,135609,12-10-2023,Refunded,Better price found,1886.64,REF24932
3,360750,159411,29-01-2024,Approved,Item damaged in transit,157.17,REF32188
4,535659,160328,03-09-2023,Approved,Defective item,7919.85,REF43653
5,779070,66587,20-09-2023,Refunded,No longer needed,3599.92,REF59225
6,887118,130393,06-12-2023,Requested,Item damaged in transit,1630.24,REF68047
7,317918,40806,27-04-2023,Rejected,Defective item,1647.88,REF72858
8,395420,180299,05-11-2023,Refunded,Size/fit issue,1257.01,REF81860
9,166642,97528,08-06-2026,Refunded,Item damaged in transit,697.54,REF95346
10,260195,82404,07-01-2024,Refunded,Better price found,592.62,REF102231
11,93447,8979,07-03-2024,Approved,,25.63,REF115593
12,6716,5344,28-04-2026,Refunded,Size/fit issue,1844.2,REF125882
13,23079,154933,04-07-2026,Requested,,688.1,REF135179
14,263499,69816,02-10-2023,Requested,Better price found,713.28,REF141613
15,94378,139764,11-03-2024,Approved,Size/fit issue,186,REF157477
16,362627,121489,05-07-2024,Refunded,,2303.96,REF169431
17,465699,83191,21-09-2023,Requested,No longer needed,8428.85,REF175089
18,468975,68949,15-12-2025,Refunded,Size/fit issue,5019.48,REF181377
19,287664,127476,08-02-2023,Refunded,Size/fit issue,463.83,REF199171
20,131797,185415,23-01-2023,Rejected,Better price found,1054.91,REF208351
21,569686,83808,22-09-2025,Refunded,Size/fit issue,3993.5,REF214658
22,331096,180212,12-02-2023,Refunded,Better price found,711.19,REF229049
23,395146,2525,06-12-2025,Requested,,478.48,REF235576
24,954886,189460,19-10-2024,Requested,Item damaged in transit,1635.92,REF246983
25,624903,123984,29-07-2025,Refunded,Item damaged in transit,5167.62,REF257856
26,866128,103447,25-09-2023,Requested,Defective item,110.94,REF267782
27,729976,193610,20-11-2025,Refunded,No longer needed,6934.8,REF278853
28,145081,167002,05-12-2024,Requested,No longer needed,2036.16,REF285569
29,72716,168305,17-12-2025,Approved,Size/fit issue,2351.05,
30,632195,46670,28-03-2025,Refunded,Item damaged in transit,5306.37,REF308731
31,556013,1437,14-09-2023,Approved,Wrong item received,2267.94,REF318042
32,718542,137550,28-11-2025,Refunded,No longer needed,1909.62,REF329572
33,358927,91307,25-05-2023,Refunded,Size/fit issue,2515.2,REF339337
34,363871,36704,12-02-2026,Rejected,Defective item,2490.6,REF344063
35,571209,123714,05-03-2025,Approved,Size/fit issue,1975.29,REF352992
36,856141,1226,28-04-2025,Refunded,Wrong item received,4147.16,REF367362
37,808043,158285,25-09-2023,Approved,Defective item,7258.48,REF376961
38,26076,4444,26-01-2024,Refunded,,2419.96,REF386046
39,213361,148975,05-06-2026,Refunded,Defective item,5791.68,REF392525
40,646648,184151,28-06-2023,Rejected,Wrong item received,3330.87,REF403998
41,708474,129306,09-12-2025,Approved,No longer needed,780.31,
42,862274,52622,02-06-2024,Refunded,No longer needed,1367.02,REF422575
43,362428,84051,13-03-2025,Refunded,No longer needed,287.78,
44,454811,24283,19-07-2026,Refunded,No longer needed,1669.38,REF445383
45,683938,184272,17-03-2023,Approved,Wrong item received,547.14,
46,637893,44094,02-04-2023,Requested,Defective item,3070.89,REF465581
47,114392,158303,06-05-2025,Refunded,No longer needed,2349.45,REF473920
48,928726,133287,11-06-2025,Refunded,Better price found,3931.98,REF488467
49,97156,180523,22-01-2025,Refunded,Better price found,3908.56,REF495938
50,501802,159788,04-02-2023,Refunded,Better price found,148.66,REF504796
51,215776,184831,12-12-2023,Refunded,Item damaged in transit,6306.85,
52,901287,61712,09-08-2023,Refunded,Better price found,5303.32,REF528794
53,644481,59758,18-02-2023,Requested,Item damaged in transit,3590.1,REF536655
54,486063,11793,25-02-2024,Approved,Better price found,5756.31,REF548079
55,553293,77219,12-11-2023,Requested,Wrong item received,9344.25,REF553221
56,556094,198411,12-07-2024,Refunded,Better price found,6673.36,REF567835
57,15843,113893,19-09-2025,Requested,Wrong item received,1061.33,REF574698
58,88903,43750,25-08-2025,Refunded,Size/fit issue,115.48,REF588416
59,809960,192667,16-01-2023,Refunded,Defective item,4191,REF591726
60,107284,66995,16-11-2025,Approved,Wrong item received,785.63,REF602813
61,248113,60853,10-11-2025,Requested,,1109.16,REF611120
62,231376,169739,28-03-2024,Refunded,Defective item,4022.2,REF625806
63,809394,63660,27-01-2023,Rejected,Wrong item received,3039.72,REF635509
64,471339,147806,16-04-2024,Rejected,Wrong item received,2034.68,REF642598
65,89855,94738,30-03-2024,Rejected,Better price found,1465.65,REF651206
66,149020,54372,04-01-2024,Refunded,Better price found,29.65,
67,249027,164655,04-10-2024,Refunded,Wrong item received,1885.36,REF674216
68,745858,149382,22-10-2025,Refunded,Wrong item received,900.9,REF687556
69,443772,88778,25-03-2026,Refunded,No longer needed,265.37,
70,716652,86625,27-05-2026,Refunded,Better price found,6903.76,REF708501
71,59001,22331,29-09-2025,Requested,Item damaged in transit,3594.78,REF712785
72,209299,141630,02-09-2025,Refunded,Item damaged in transit,4890.2,REF723436
73,154704,135094,07-12-2025,Approved,Item damaged in transit,1682.96,REF735322
74,702922,134534,06-09-2025,Refunded,No longer needed,6177.4,REF746006
75,378068,149497,27-11-2024,Rejected,No longer needed,698.34,REF757091
76,182895,29154,14-01-2026,Approved,Size/fit issue,3656.58,REF763256
77,360407,27983,24-01-2023,Rejected,Wrong item received,3882.15,REF773819
78,515667,150985,31-12-2023,Refunded,Better price found,3223.12,REF783639
79,400902,157379,11-12-2023,Requested,No longer needed,585.45,REF799585
80,614171,20174,14-08-2023,Approved,Defective item,3931.68,REF809711
81,408483,64419,11-10-2023,Refunded,No longer needed,1875.86,REF813182
82,273347,79259,17-04-2026,Refunded,Item damaged in transit,4723.11,REF829384
83,708863,43977,30-01-2025,Rejected,No longer needed,736.53,REF835312
84,220258,10124,18-02-2026,Refunded,Defective item,6727.35,
85,95156,149876,23-10-2025,Approved,No longer needed,2956.8,REF859581
86,126648,77172,31-08-2023,Rejected,Wrong item received,4758.57,REF865151
87,236124,60338,30-04-2023,Requested,Size/fit issue,670.17,REF878869
88,965348,175023,31-05-2024,Refunded,Item damaged in transit,238.58,REF889057
89,186537,121413,05-01-2026,Rejected,Wrong item received,4231.95,
90,549501,88688,25-09-2024,Requested,Size/fit issue,2606.1,REF908262
91,47745,187681,28-09-2023,Approved,Item damaged in transit,4505.7,REF919640
92,322796,152413,05-02-2025,Refunded,,2358.12,REF922181
93,396705,36140,30-03-2025,Approved,Defective item,1222.97,REF931895
94,270599,93981,01-02-2023,Approved,Better price found,4902.96,REF941437
95,481965,156159,27-05-2023,Approved,No longer needed,5248.8,REF953222
96,528754,144750,24-03-2023,Refunded,,6644.45,REF962393
97,89307,34405,30-06-2026,Approved,Better price found,7158.48,REF972425
98,518546,134782,05-11-2023,Requested,Better price found,1333.52,
99,463724,38125,16-01-2023,Refunded,Defective item,4265.72,REF998583
100,148417,17213,14-03-2025,Refunded,,7774.7,REF1002108
101,333056,51785,23-05-2023,Approved,No longer needed,2685.28,REF1011113
102,56499,25604,18-09-2025,Approved,Better price found,7558.88,REF1027531
103,403687,114873,09-10-2023,Refunded,No longer needed,7175.32,REF1036888
104,325592,33314,15-03-2024,Rejected,Size/fit issue,4391.44,REF1042908
105,12912,123011,27-01-2023,Requested,No longer needed,3200.55,REF1054286
106,353130,159729,21-02-2023,Approved,,1761.45,REF1064322
107,593231,126812,31-12-2025,Requested,Item damaged in transit,4714.32,REF1079742
108,718971,192212,24-12-2023,Requested,No longer needed,1316.58,
109,730842,12909,19-01-2026,Refunded,Item damaged in transit,226.88,REF1091372
110,775072,161689,26-09-2025,Refunded,Better price found,2890.48,REF1103314
111,863614,44939,05-01-2024,Refunded,Size/fit issue,1485.6,REF1115223
112,973243,97407,02-11-2024,Refunded,Better price found,1512.66,REF1125357
113,434280,32274,09-07-2026,Refunded,,6310.85,REF1134172
114,971127,153422,20-10-2025,Approved,No longer needed,9237.6,REF1142458
115,401460,159455,15-09-2025,Approved,Defective item,2476.52,REF1154235
116,96234,32824,02-11-2024,Approved,Item damaged in transit,5630.92,REF1166326
117,499803,151927,06-12-2023,Rejected,Defective item,3387.38,REF1178631
118,392252,37326,30-05-2026,Approved,Item damaged in transit,1984.24,REF1187963
119,188523,139666,04-10-2024,Rejected,Better price found,909.35,REF1191826
120,574201,104279,12-01-2026,Approved,Item damaged in transit,1514.46,REF1209194
121,156529,9164,09-08-2023,Requested,,8552.15,REF1212669
122,254767,38477,21-06-2024,Requested,Wrong item received,1892.19,REF1229330
123,78012,26151,04-03-2025,Refunded,Item damaged in transit,900.24,REF1236385
124,267896,37833,28-02-2023,Rejected,Defective item,271.81,REF1245780
125,63831,60970,16-02-2023,Refunded,Item damaged in transit,6599.8,REF1256008
126,736653,1551,15-09-2024,Approved,Size/fit issue,6361.8,REF1267548
127,568635,118132,08-02-2026,Approved,Defective item,3726.32,REF1277526
128,883188,179931,14-04-2023,Approved,Item damaged in transit,5358.05,REF1284680
129,263068,156880,30-09-2023,Rejected,Wrong item received,4593.15,REF1292828
130,379014,61456,16-01-2025,Refunded,Size/fit issue,1652.92,REF1305523
131,58720,175651,09-09-2024,Refunded,Defective item,1594.36,REF1319291
132,609596,27322,31-01-2023,Refunded,Wrong item received,7990.12,REF1325678
133,973299,73424,27-08-2023,Approved,Size/fit issue,1087.8,REF1333412
134,909054,132979,23-02-2026,Refunded,No longer needed,5519.6,REF1348366
135,770934,132601,31-05-2025,Approved,Size/fit issue,2824.06,REF1357248
136,714273,196101,13-07-2025,Refunded,Better price found,1620.01,REF1369523
137,962887,82274,08-02-2024,Refunded,Defective item,3952.08,REF1371212
138,138922,59880,27-07-2025,Refunded,No longer needed,1329.72,
139,874182,52924,29-06-2023,Refunded,Better price found,7472.32,REF1398033
140,89957,192279,24-05-2026,Requested,Item damaged in transit,4498.56,REF1401693
141,379816,40217,12-06-2026,Refunded,Size/fit issue,7182.24,REF1416244
142,645455,87612,24-10-2024,Approved,No longer needed,1138.38,REF1428245
143,336678,173699,13-07-2024,Approved,Wrong item received,1866.46,REF1439678
144,716950,113055,23-02-2026,Refunded,Size/fit issue,3587.4,REF1446794
145,604514,5982,02-04-2026,Approved,Better price found,6128.95,REF1455350
146,452026,70717,24-07-2024,Requested,Defective item,7994.75,REF1463890
147,27012,166713,04-03-2023,Refunded,,4878.33,REF1471225
148,697384,40949,07-01-2025,Refunded,Wrong item received,7819.56,REF1482095
149,30613,188090,12-12-2025,Approved,Item damaged in transit,5255.65,REF1492320
150,921690,73675,07-08-2023,Requested,Defective item,3992.4,REF1503855
151,100455,141882,14-05-2024,Refunded,Size/fit issue,2306.56,REF1519462
152,910065,175476,04-08-2023,Refunded,Better price found,430.93,REF1527651
153,779559,56107,22-04-2023,Refunded,,24.74,REF1531892
154,858597,168232,01-06-2024,Approved,Defective item,3734.52,REF1542388
155,303841,11072,28-11-2024,Approved,Item damaged in transit,5586.87,REF1555218
156,139471,80778,23-02-2024,Rejected,Wrong item received,6163.72,REF1564313
157,778389,134272,25-06-2026,Refunded,Item damaged in transit,6884.56,REF1579629
158,799672,104895,18-03-2023,Requested,Size/fit issue,6203.84,REF1586196
159,365356,6711,06-01-2025,Refunded,Item damaged in transit,3662.18,REF1598408
160,576170,131087,12-05-2024,Rejected,Size/fit issue,3453.66,REF1608797
161,488356,197821,15-07-2026,Refunded,,2699.5,REF1612560
162,457099,14717,21-01-2025,Refunded,Defective item,1321.87,REF1629587
163,363677,10550,31-07-2026,Refunded,Defective item,2514.44,REF1638113
164,889999,22751,07-09-2023,Approved,Size/fit issue,1586.12,REF1647931
165,339262,60665,09-05-2023,Requested,Better price found,3432.34,REF1659786
166,684974,166335,17-09-2024,Requested,No longer needed,3808.44,REF1664012
167,782288,26445,07-07-2026,Refunded,,3895.26,REF1679383
168,108902,129021,18-07-2025,Approved,Defective item,7196.1,REF1681310
169,909594,65149,11-05-2023,Requested,Defective item,80.68,REF1692187
170,497258,62207,30-05-2024,Refunded,No longer needed,1240.02,REF1707466
171,853133,114704,07-12-2023,Refunded,Wrong item received,4542.09,REF1712968
172,628402,154470,28-05-2023,Requested,No longer needed,1718.4,REF1723725
173,943355,184188,05-07-2023,Refunded,No longer needed,2125.2,REF1736781
174,684387,192391,22-01-2026,Approved,Defective item,5726.28,REF1744341
175,118644,174474,03-02-2026,Refunded,Size/fit issue,860.33,REF1754519
176,160947,54101,03-05-2026,Refunded,Size/fit issue,1255.92,REF1769323
177,805362,1853,15-09-2024,Requested,Defective item,6298.8,REF1778532
178,231660,124760,20-08-2025,Approved,,2095.5,
179,210099,156219,19-02-2023,Refunded,Wrong item received,3171.46,REF1794223
180,436275,3388,27-11-2023,Refunded,,5541.52,REF1805812
181,199382,35119,19-11-2023,Refunded,Wrong item received,3079.78,REF1817632
182,401092,66174,15-09-2025,Rejected,Better price found,3825.56,REF1824384
183,631177,76733,22-08-2024,Refunded,Defective item,3015.69,REF1836208
184,1668,27573,06-03-2026,Requested,Better price found,2424.96,REF1846672
185,831239,174717,23-09-2024,Approved,Better price found,1446.72,REF1852492
186,862454,137728,19-02-2024,Refunded,Size/fit issue,850.28,REF1861954
187,678027,163773,19-04-2026,Requested,Defective item,294.88,REF1875419
188,734508,24042,12-11-2023,Refunded,No longer needed,4962.88,REF1883375
189,265577,79450,30-01-2024,Refunded,Item damaged in transit,979.38,REF1895090
190,260394,2303,31-07-2025,Requested,,3901.46,REF1902582
191,802540,141559,07-04-2025,Requested,Better price found,872.8,REF1913630
192,818998,28269,03-09-2023,Approved,Wrong item received,5375.76,REF1926641
193,304039,183103,24-01-2023,Approved,Better price found,259.16,REF1939893
194,939090,24805,04-08-2025,Approved,No longer needed,2213.62,REF1947002
195,503056,48080,03-11-2025,Refunded,Better price found,3094.32,REF1954234
196,512340,21332,23-01-2023,Requested,Size/fit issue,1936.24,REF1967028
197,679937,93000,06-11-2023,Refunded,Defective item,4670.16,REF1974584
198,596367,157355,16-01-2023,Approved,Wrong item received,2879.28,REF1981146
199,467561,24954,22-05-2024,Refunded,Wrong item received,2934.7,REF1997735
200,833505,79242,20-06-2024,Refunded,Defective item,67.67,REF2007283
201,294242,146165,25-04-2023,Requested,Size/fit issue,2002.3,REF2014915
202,383727,72113,09-02-2023,Requested,Size/fit issue,477.87,
203,778804,40812,11-03-2024,Refunded,Size/fit issue,3303.76,REF2037754
204,410725,134681,28-07-2023,Refunded,Size/fit issue,957.19,REF2043425
205,189451,97197,24-05-2026,Requested,Defective item,2685.8,
206,679607,16622,11-05-2026,Requested,Size/fit issue,5186.75,REF2069142
207,784949,59120,20-03-2024,Refunded,Defective item,1937.44,REF2077243
208,357946,33746,11-03-2025,Refunded,Item damaged in transit,4046.96,REF2083791
209,171038,74935,15-02-2024,Rejected,Better price found,1765.8,REF2099509
210,696562,14532,20-06-2025,Requested,Wrong item received,1914.7,REF2108545
211,615113,60935,29-03-2025,Approved,Wrong item received,199.55,REF2112454
212,36766,45078,16-12-2024,Refunded,Item damaged in transit,4715.04,REF2121738
213,182687,42272,31-01-2024,Refunded,Size/fit issue,3095.12,
214,886084,92852,14-11-2025,Refunded,Defective item,2356.76,REF2148008
215,248279,23580,12-06-2025,Refunded,Size/fit issue,1254.87,REF2157525
216,543096,23072,09-05-2023,Refunded,Better price found,276.13,REF2161921
217,588197,113272,22-07-2024,Requested,Size/fit issue,314.57,REF2174388
218,922918,70212,24-04-2026,Requested,Defective item,4948.4,REF2182913
219,102618,129207,05-11-2024,Refunded,,1558,REF2191611
220,826877,87893,22-05-2023,Refunded,Size/fit issue,1839.42,REF2207796
221,471795,84880,14-05-2023,Requested,Better price found,456.93,REF2216689
222,149049,41796,29-01-2026,Refunded,No longer needed,1281.16,REF2226423
223,814563,187861,07-02-2023,Rejected,Item damaged in transit,1650.84,REF2232989
224,769840,141196,28-01-2026,Rejected,,1535.79,REF2249839
225,589585,112897,27-06-2025,Approved,Better price found,377.09,REF2254200
226,500853,23876,21-05-2024,Requested,Size/fit issue,351.68,REF2269954
227,862728,169186,31-01-2025,Approved,Wrong item received,5626.77,REF2275359
228,530818,110560,03-10-2024,Approved,Item damaged in transit,155.16,
229,172026,184660,12-07-2026,Approved,Wrong item received,1189.47,REF2291056
230,869127,123805,08-10-2025,Refunded,Wrong item received,858.05,REF2309158
231,607828,62713,02-12-2025,Refunded,Size/fit issue,74.14,REF2311257
232,474692,157983,29-04-2025,Refunded,Wrong item received,2042.82,REF2321958
233,722818,125268,21-08-2023,Approved,Defective item,3428.85,REF2335187
234,436591,79575,30-07-2023,Approved,Item damaged in transit,655.13,REF2349219
235,593849,46994,01-01-2024,Refunded,,2993.31,REF2352403
236,972357,142257,12-07-2026,Rejected,Item damaged in transit,3718.6,REF2361679
237,134114,6395,05-12-2023,Requested,Better price found,1975.83,REF2379988
238,656164,57608,30-06-2025,Refunded,No longer needed,899.08,REF2389820
239,115294,94394,17-09-2024,Rejected,Wrong item received,1336.09,REF2397364
240,758533,120398,21-03-2025,Refunded,No longer needed,1801.66,REF2407911
241,392017,91208,16-06-2023,Refunded,Size/fit issue,3423.64,REF2414762
242,873245,68344,07-11-2024,Requested,Item damaged in transit,1665,REF2422428
243,226815,182970,12-04-2024,Approved,,1764.53,REF2439045
244,384398,168515,15-05-2025,Requested,Size/fit issue,2525.94,REF2444424
245,648768,101435,28-08-2024,Refunded,Size/fit issue,632.76,REF2458699
246,268809,117997,15-10-2023,Refunded,Wrong item received,8902.95,REF2468653
247,674783,22782,03-02-2026,Requested,Defective item,5453.52,REF2479365
248,116234,31723,23-04-2026,Approved,,2756.9,REF2486812
249,927043,126039,10-09-2024,Refunded,Size/fit issue,1043.65,REF2499204
250,676261,23781,06-05-2025,Refunded,Better price found,3728.88,REF2509587
251,398787,36516,26-02-2025,Refunded,Better price found,946.38,REF2511374
252,879312,177361,07-04-2025,Refunded,No longer needed,3060.22,REF2525241
253,222862,153208,01-11-2024,Refunded,Size/fit issue,5804.8,REF2539721
254,982512,98333,15-04-2024,Refunded,Better price found,1156.02,REF2547303
255,57141,51024,07-05-2023,Refunded,Better price found,5548.3,
256,269927,15084,12-10-2024,Refunded,No longer needed,702.08,REF2568575
257,178697,85403,13-08-2026,Approved,No longer needed,480.14,REF2576405
258,195540,119175,12-03-2023,Refunded,Item damaged in transit,2477.1,REF2584499
259,472392,40263,19-05-2025,Approved,Wrong item received,5473.24,
260,674561,99801,04-07-2026,Refunded,Size/fit issue,2526.28,REF2608567
261,80307,30786,28-02-2025,Refunded,Wrong item received,846.26,REF2614563
262,482853,192840,29-06-2024,Refunded,No longer needed,3737.7,
263,431860,62508,05-03-2026,Approved,Wrong item received,4955.72,REF2633533
264,722203,167184,17-05-2024,Approved,Size/fit issue,346.29,REF2647793
265,268397,33336,08-04-2023,Refunded,Better price found,3819.88,REF2659472
266,505820,154697,12-10-2024,Rejected,Better price found,582.8,REF2666366
267,74415,117025,19-03-2024,Rejected,Better price found,6440.05,REF2674862
268,191372,136343,29-07-2026,Refunded,Defective item,64.33,REF2688980
269,12890,77311,12-08-2024,Refunded,Size/fit issue,693.52,REF2691345
270,791398,159172,14-03-2023,Requested,No longer needed,7336.12,REF2709041
271,798480,29654,09-11-2025,Requested,Item damaged in transit,1967.46,REF2713897
272,636311,160020,08-03-2026,Refunded,Wrong item received,5332.15,REF2721829
273,836875,19588,17-01-2026,Requested,Size/fit issue,1333.89,REF2737192
274,504960,160833,24-02-2025,Approved,Size/fit issue,38.52,REF2747211
275,565280,19306,24-07-2026,Approved,Item damaged in transit,5209.65,REF2752041
276,868193,86354,01-05-2026,Requested,Size/fit issue,3161.97,REF2767163
277,883251,1097,16-06-2024,Refunded,Better price found,683.01,REF2779165
278,18547,139602,08-11-2024,Refunded,Wrong item received,2767.15,REF2782994
279,772194,88173,12-01-2025,Refunded,Size/fit issue,1182.18,REF2799263
280,856903,105852,01-12-2023,Refunded,,308.2,REF2803879
281,679912,91866,20-08-2024,Approved,No longer needed,1704.72,REF2813667
